"Time [s]","U1_tRMS@AC [V]","U2_tRMS@AC [V]","U3_tRMS@AC [V]","I1_tRMS@AC [A]","I2_tRMS@AC [A]","I3_tRMS@AC [A]","P_t@AC [W]","Q_t@AC [var]","S_t@AC [VA]","F_fund@AC [Hz]"
0.009500,230.602,230.455,230.793,19.247,19.251,19.297,13320.708,451.103,13328.344,51.500
0.028900,230.603,230.454,230.794,19.247,19.248,19.299,13320.601,454.525,13328.354,51.500
0.048300,230.603,230.452,230.795,19.243,19.252,19.301,13321.178,450.074,13328.779,51.500
0.067800,230.601,230.454,230.789,19.250,19.248,19.298,13320.911,450.106,13328.513,51.500
0.087200,230.601,230.456,230.791,19.250,19.248,19.298,13321.030,450.856,13328.658,51.500
0.106600,230.599,230.453,230.792,19.246,19.251,19.304,13322.228,449.340,13329.803,51.500
0.126000,230.598,230.452,230.793,19.246,19.263,19.296,13323.095,448.357,13330.637,51.500
0.145400,230.602,230.451,230.792,19.246,19.258,19.296,13321.977,450.339,13329.586,51.500
0.164900,230.601,230.452,230.794,19.249,19.253,19.293,13320.917,453.038,13328.618,51.500
0.184300,230.600,230.454,230.791,19.245,19.253,19.294,13320.222,449.419,13327.801,51.500
0.203700,230.604,230.454,230.789,19.249,19.262,19.290,13322.247,448.076,13329.780,51.500
0.223100,230.603,230.451,230.791,19.252,19.259,19.297,13323.825,448.365,13331.367,51.500
0.242500,230.603,230.449,230.793,19.247,19.254,19.293,13320.798,447.571,13328.314,51.500
0.261900,230.601,230.448,230.792,19.253,19.259,19.300,13324.583,450.623,13332.200,51.500
0.281400,230.599,230.451,230.792,19.250,19.263,19.294,13323.583,449.357,13331.158,51.500
0.300800,230.600,230.452,230.790,19.246,19.257,19.295,13321.466,449.277,13329.039,51.500
0.320200,230.600,230.451,230.791,19.243,19.261,19.299,13322.762,449.718,13330.351,51.500
0.339600,230.599,230.449,230.795,19.245,19.261,19.299,13323.121,451.311,13330.763,51.500
0.359000,230.600,230.450,230.793,19.245,19.260,19.300,13323.105,451.612,13330.758,51.500
0.378400,230.602,230.449,230.794,19.249,19.259,19.298,13323.302,450.082,13330.901,51.500
0.397900,230.597,230.453,230.788,19.242,19.258,19.300,13321.842,449.945,13329.438,51.500
0.417300,230.599,230.451,230.788,19.247,19.259,19.303,13324.011,451.546,13331.660,51.500
0.436700,230.599,230.449,230.787,19.248,19.264,19.297,13323.589,452.444,13331.269,51.500
0.456100,230.599,230.451,230.792,19.244,19.257,19.304,13323.014,445.993,13330.477,51.500
0.475500,230.600,230.447,230.792,19.246,19.255,19.306,13323.505,449.232,13331.076,51.500
0.494900,230.600,230.450,230.798,19.248,19.256,19.302,13323.472,446.648,13330.956,51.500
0.514400,230.602,230.453,230.787,19.248,19.252,19.306,13323.391,445.625,13330.841,51.500
0.533800,230.599,230.453,230.792,19.249,19.255,19.300,13322.938,449.133,13330.507,51.500
0.553200,230.599,230.449,230.788,19.248,19.254,19.299,13322.105,447.853,13329.631,51.500
