"Time [s]","U1_tRMS@AC [V]","U2_tRMS@AC [V]","U3_tRMS@AC [V]","I1_tRMS@AC [A]","I2_tRMS@AC [A]","I3_tRMS@AC [A]","P_t@AC [W]","Q_t@AC [var]","S_t@AC [VA]","F_fund@AC [Hz]"
0.000400,230.582,230.418,230.760,19.216,19.185,19.271,13285.548,584.669,13298.406,47.499
0.021400,230.615,230.454,230.777,19.213,19.222,19.259,13297.267,460.559,13305.239,47.501
0.042500,230.609,230.451,230.780,19.203,19.225,19.259,13295.753,453.665,13303.491,47.500
0.063500,230.605,230.452,230.777,19.210,19.218,19.264,13296.747,453.321,13304.472,47.500
0.084600,230.605,230.449,230.777,19.223,19.224,19.264,13300.918,454.056,13308.666,47.500
0.105600,230.601,230.453,230.777,19.215,19.231,19.266,13301.156,449.422,13308.746,47.500
0.126700,230.600,230.451,230.777,19.219,19.224,19.264,13300.061,450.182,13307.677,47.500
0.147700,230.599,230.452,230.777,19.225,19.225,19.267,13302.143,453.708,13309.878,47.500
0.168800,230.596,230.451,230.775,19.227,19.227,19.264,13302.287,454.077,13310.035,47.500
0.189800,230.596,230.448,230.778,19.213,19.229,19.269,13301.022,450.150,13308.638,47.500
0.210900,230.592,230.447,230.776,19.217,19.220,19.267,13299.103,453.479,13306.832,47.500
0.231900,230.592,230.443,230.776,19.226,19.230,19.273,13304.666,452.184,13312.348,47.500
0.253000,230.594,230.447,230.769,19.218,19.232,19.264,13301.443,446.690,13308.941,47.500
0.274000,230.592,230.443,230.777,19.216,19.219,19.271,13299.928,445.815,13307.397,47.500
0.295100,230.591,230.449,230.774,19.227,19.219,19.267,13301.010,452.164,13308.693,47.500
0.316100,230.591,230.440,230.781,19.222,19.230,19.269,13303.035,448.903,13310.607,47.500
0.337200,230.591,230.446,230.768,19.216,19.224,19.261,13298.318,446.777,13305.821,47.500
0.358300,230.589,230.439,230.779,19.223,19.224,19.268,13301.441,453.300,13309.163,47.500
0.379300,230.591,230.445,230.770,19.217,19.231,19.270,13302.521,450.726,13310.154,47.500
0.400400,230.591,230.438,230.775,19.217,19.223,19.274,13301.180,453.537,13308.909,47.500
0.421400,230.591,230.445,230.774,19.223,19.222,19.272,13301.958,456.275,13309.781,47.500
0.442500,230.593,230.446,230.776,19.227,19.238,19.270,13306.178,455.396,13313.968,47.500
