"Time [s]","U1_tRMS@AC [V]","U2_tRMS@AC [V]","U3_tRMS@AC [V]","I1_tRMS@AC [A]","I2_tRMS@AC [A]","I3_tRMS@AC [A]","P_t@AC [W]","Q_t@AC [var]","S_t@AC [VA]","F_fund@AC [Hz]"
0.001400,196.100,195.973,196.317,20.228,20.240,20.291,11904.791,535.578,11916.832,50.000
0.021400,196.105,195.977,196.321,20.224,20.241,20.285,11903.151,536.903,11915.254,50.000
0.041400,196.110,195.982,196.325,20.219,20.229,20.281,11899.024,538.055,11911.184,50.000
0.061400,196.113,195.983,196.326,20.210,20.229,20.282,11897.546,542.492,11909.907,50.000
0.081400,196.120,195.986,196.328,20.210,20.218,20.274,11893.769,545.420,11906.268,50.000
0.101400,196.121,195.989,196.330,20.214,20.219,20.280,11896.144,547.925,11908.755,50.000
0.121400,196.124,195.993,196.333,20.210,20.218,20.275,11894.386,545.837,11906.903,50.000
0.141400,196.139,196.012,196.355,20.231,20.218,20.219,11892.317,458.729,11901.161,49.999
0.161400,196.171,196.038,196.377,20.195,20.208,20.267,11898.384,338.588,11903.200,50.000
0.181400,196.169,196.036,196.370,20.205,20.213,20.273,11902.539,336.228,11907.287,50.000
0.201400,196.166,196.032,196.367,20.205,20.211,20.272,11901.454,335.317,11906.177,50.000
0.221400,196.162,196.031,196.364,20.206,20.217,20.281,11904.446,335.886,11909.185,50.000
0.241400,196.159,196.027,196.359,20.209,20.216,20.274,11903.382,336.600,11908.140,50.000
0.261400,196.158,196.023,196.356,20.209,20.215,20.276,11903.219,343.363,11908.170,50.000
0.281400,196.154,196.022,196.354,20.209,20.213,20.278,11902.688,351.743,11907.883,50.000
0.301400,196.154,196.019,196.349,20.207,20.221,20.280,11904.238,353.247,11909.479,50.000
0.321400,196.151,196.023,196.346,20.211,20.231,20.270,11905.259,336.764,11910.021,50.000
0.341400,196.150,196.017,196.345,20.212,20.221,20.285,11906.280,335.661,11911.011,50.000
0.361400,196.147,196.016,196.345,20.214,20.229,20.278,11906.915,338.163,11911.716,50.000
0.381400,196.148,196.012,196.339,20.213,20.227,20.276,11905.701,336.289,11910.449,50.000
0.401400,196.147,196.012,196.338,20.213,20.226,20.277,11905.704,337.287,11910.480,50.000
0.421400,196.146,196.010,196.335,20.209,20.223,20.279,11904.426,338.678,11909.242,50.000
0.441400,196.145,196.009,196.335,20.213,20.221,20.284,11905.828,336.901,11910.594,50.000
0.461400,196.146,196.010,196.333,20.214,20.221,20.284,11906.048,343.311,11910.997,50.000
0.481400,196.146,196.006,196.329,20.210,20.229,20.284,11906.617,336.311,11911.365,50.000
0.501400,196.142,196.007,196.325,20.215,20.228,20.281,11906.662,336.316,11911.411,50.000
0.521400,196.142,196.004,196.325,20.215,20.226,20.285,11907.227,334.056,11911.911,50.000
0.541400,196.143,196.002,196.322,20.210,20.221,20.283,11904.745,334.804,11909.452,50.000
0.561400,196.144,196.002,196.321,20.217,20.224,20.278,11905.684,336.625,11910.442,50.000
0.581400,196.145,196.002,196.319,20.208,20.223,20.280,11903.961,336.088,11908.704,50.000
0.601400,196.143,196.001,196.321,20.215,20.230,20.282,11907.336,333.869,11912.016,50.000
0.621400,196.143,196.000,196.318,20.211,20.229,20.282,11906.191,330.267,11910.771,50.000
0.641400,196.143,195.999,196.316,20.208,20.224,20.283,11904.618,331.650,11909.236,50.000
0.661400,196.141,195.997,196.314,20.211,20.219,20.285,11904.665,333.921,11909.348,50.000
0.681400,196.143,195.996,196.311,20.213,20.223,20.278,11904.263,336.729,11909.024,50.000
0.701400,196.140,195.994,196.310,20.214,20.220,20.284,11904.890,336.294,11909.639,50.000
0.721400,196.141,195.994,196.307,20.209,20.224,20.281,11904.166,334.590,11908.867,50.000
0.741400,196.140,195.994,196.309,20.215,20.225,20.280,11905.401,337.857,11910.194,50.000
