"<Device>"
Model,PA5000H
Date,2024-12-10
Time,11:2:54

"<Settings>"
Update Rate,100ms
Crest Factor,3
Efficiency Compensation,OFF
Run Mode,Basic

User,Status,Name,Unit,Expression

Element,Element1,Element2,Element3,Element4,Element5,Element6
Wiring,3P4W,3P4W,3P4W,1P2W,1P2W,1P2W
Voltage Range,600.000000V,600.000000V,600.000000V,1000.000000V,1500.000000V,1.500000V
Voltage Scaling,OFF,OFF,OFF,OFF,OFF,OFF
Voltage Auto Range,OFF,OFF,OFF,OFF,OFF,OFF
Current Range,0.050000A,0.050000A,0.050000A,50.000000A,10.000000A,1.000000A
Current Scaling,ON,ON,ON,OFF,OFF,OFF
Current Auto Range,OFF,OFF,OFF,OFF,OFF,OFF
Ext Sensor,OFF,OFF,OFF,OFF,OFF,OFF
Ext Sensor Range,10.000000V,10.000000V,10.000000V,0.050000V,0.050000V,0.050000V
Ext Sensor Ratio,10.000000mV/A,100.000000mV/A,1.000000mV/A,10.000000mV/A,1.000000mV/A,1.000000mV/A
U Liner Filter,OFF,OFF,OFF,OFF,OFF,OFF
I Liner Filter,OFF,OFF,OFF,OFF,OFF,OFF
U Frequency Filter,500Hz,500Hz,500Hz,OFF,OFF,OFF
I Frequency Filter,500Hz,500Hz,500Hz,OFF,OFF,OFF
PT Ratio,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
CT Ratio,1000.000000,1000.000000,1000.000000,1.000000,1.000000,1.000000
Sync source,U1,U2,U3,U4,U1,U1
Wiring Compensation,OFF,OFF,OFF,OFF,OFF,OFF

Store No.,Date,Time,MilliSecond,Urms1,Irms1,P1,fU1,S1,Q1,λ1,Urms2,Irms2,P2,fU2,S2,Q2,λ2,Urms3,Irms3,P3,fU3,S3,Q3,λ3,UrmsΣA,IrmsΣA,PΣA,SΣA,QΣA,λΣA
0,2024-12-10,11:2:54,18ms,2.30166e+002,8.63830e+000,1.97298e+003,5.00001e+001,1.98824e+003,2.45905e+002,9.92322e-001,2.30127e+002,8.63369e+000,1.97250e+003,5.00012e+001,1.98685e+003,2.38336e+002,9.92779e-001,2.30134e+002,8.57840e+000,1.96781e+003,5.00004e+001,1.97418e+003,1.58484e+002,9.96772e-001,2.30143e+002,8.61679e+000,5.91329e+003,5.94927e+003,6.42725e+002,9.93952e-001
1,2024-12-10,11:2:54,118ms,2.30165e+002,8.63371e+000,1.97172e+003,5.00001e+001,1.98718e+003,2.47403e+002,9.92220e-001,2.30130e+002,8.63141e+000,1.97205e+003,4.99986e+001,1.98635e+003,2.37878e+002,9.92803e-001,2.30132e+002,8.57171e+000,1.96637e+003,4.99994e+001,1.97262e+003,1.56897e+002,9.96832e-001,2.30142e+002,8.61228e+000,5.91014e+003,5.94615e+003,6.42178e+002,9.93945e-001
2,2024-12-10,11:2:54,218ms,2.30172e+002,8.63007e+000,1.97119e+003,4.99991e+001,1.98640e+003,2.45349e+002,9.92343e-001,2.30117e+002,8.62886e+000,1.97144e+003,4.99993e+001,1.98565e+003,2.37080e+002,9.92847e-001,2.30137e+002,8.57137e+000,1.96632e+003,4.99988e+001,1.97259e+003,1.57138e+002,9.96822e-001,2.30142e+002,8.61010e+000,5.90896e+003,5.94464e+003,6.39567e+002,9.93997e-001
3,2024-12-10,11:2:54,318ms,2.30156e+002,8.63459e+000,1.97224e+003,5.00004e+001,1.98730e+003,2.44150e+002,9.92425e-001,2.30123e+002,8.62352e+000,1.97020e+003,4.99999e+001,1.98447e+003,2.37601e+002,9.92806e-001,2.30143e+002,8.57331e+000,1.96676e+003,5.00012e+001,1.97309e+003,1.57959e+002,9.96790e-001,2.30141e+002,8.61047e+000,5.90920e+003,5.94486e+003,6.39710e+002,9.94001e-001
4,2024-12-10,11:2:54,418ms,2.30164e+002,8.62429e+000,1.97013e+003,4.99977e+001,1.98500e+003,2.42499e+002,9.92510e-001,2.30132e+002,8.62772e+000,1.97113e+003,4.99988e+001,1.98551e+003,2.38545e+002,9.92757e-001,2.30140e+002,8.57534e+000,1.96718e+003,5.00010e+001,1.97353e+003,1.58139e+002,9.96784e-001,2.30145e+002,8.60912e+000,5.90845e+003,5.94404e+003,6.39184e+002,9.94011e-001
5,2024-12-10,11:2:54,518ms,2.30169e+002,8.63933e+000,1.97348e+003,5.00005e+001,1.98851e+003,2.44053e+002,9.92440e-001,2.30125e+002,8.62595e+000,1.97092e+003,5.00002e+001,1.98505e+003,2.36377e+002,9.92885e-001,2.30130e+002,8.56549e+000,1.96493e+003,5.00003e+001,1.97117e+003,1.56717e+002,9.96835e-001,2.30141e+002,8.61026e+000,5.90933e+003,5.94473e+003,6.37147e+002,9.94046e-001
6,2024-12-10,11:2:54,618ms,2.30153e+002,8.63124e+000,1.97161e+003,4.99999e+001,1.98651e+003,2.42831e+002,9.92501e-001,2.30135e+002,8.61812e+000,1.96927e+003,4.99998e+001,1.98333e+003,2.35790e+002,9.92908e-001,2.30137e+002,8.56583e+000,1.96507e+003,4.99996e+001,1.97131e+003,1.56767e+002,9.96833e-001,2.30142e+002,8.60506e+000,5.90595e+003,5.94115e+003,6.35388e+002,9.94074e-001
7,2024-12-10,11:2:54,718ms,2.30162e+002,8.62822e+000,1.97132e+003,4.99984e+001,1.98589e+003,2.40130e+002,9.92662e-001,2.30140e+002,8.62236e+000,1.97039e+003,4.99997e+001,1.98435e+003,2.34993e+002,9.92963e-001,2.30123e+002,8.57733e+000,1.96758e+003,4.99986e+001,1.97384e+003,1.57077e+002,9.96828e-001,2.30142e+002,8.60930e+000,5.90929e+003,5.94408e+003,6.32201e+002,9.94146e-001
8,2024-12-10,11:2:54,818ms,2.30149e+002,8.65077e+000,1.97636e+003,5.00005e+001,1.99097e+003,2.40699e+002,9.92665e-001,2.30136e+002,8.65023e+000,1.97695e+003,4.99997e+001,1.99073e+003,2.33810e+002,9.93079e-001,2.30138e+002,8.58833e+000,1.97029e+003,5.00005e+001,1.97650e+003,1.56635e+002,9.96855e-001,2.30141e+002,8.62978e+000,5.92360e+003,5.95820e+003,6.31143e+002,9.94193e-001
9,2024-12-10,11:2:54,918ms,2.30169e+002,8.60845e+000,1.96726e+003,4.99983e+001,1.98140e+003,2.36237e+002,9.92867e-001,2.30128e+002,8.61921e+000,1.96961e+003,5.00004e+001,1.98352e+003,2.34499e+002,9.92987e-001,2.30124e+002,8.56691e+000,1.96520e+003,4.99993e+001,1.97145e+003,1.56941e+002,9.96826e-001,2.30140e+002,8.59819e+000,5.90207e+003,5.93637e+003,6.27677e+002,9.94222e-001
