"Model","WT1800"
"Comment",""
"Version","1.01"
"Date","2024/12/05"
"Time","14:33:22"

"<Settings>"
"Measurement Mode","Normal Mode"
"Sigma","SigmaA"
"Sigma Wiring","3P4W"
"Delta Measure Type","Star->Delta"
"Delta Measure Mode","RMS"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"Module","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A"
"Wiring","1P2W","SigmaA(3P4W)","SigmaA(3P4W)","SigmaA(3P4W)","1P2W","1P2W"
"Voltage Range","1.5V","600V","600V","600V","1.5V","1.5V"
"Terminal","Direct","Direct","Direct","Direct","Sensor","Direct"
"Current Range","    10mA","Auto","Auto","Auto","100mV","    10mA"
"Sensor Ratio","100.0000","10.0000","100.0000","10.0000","100.0000","10.0000"
"Line Filter","Off","Off","Off","Off","Off","Off"
"Frequency Filter","Off","Off","Off","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","2000.0001","1000.0000","1000.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Sync Source","I1","I2","I3","I4","I5","I6"
"WP Type","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge"
"q Mode","dc","dc","dc","dc","dc","dc"
"Null U","Off","Off","Off","Off","Off","Off"
"Null I","Off","Off","Off","Off","Off","Off"
"Element Independent","On"
"Average","Off"
"F1(EFF)","P(E3)/P(E4)*100","Unit","%"
"F2(P-loss)","Off"
"F3(U-ripple)","Off"
"F4(I-ripple)","Off"
"F5(D-UrmsR)","Off"
"F6(D-UrmsS)","Off"
"F7(D-UrmsT)","Off"
"F8(D-UmnR)","Off"
"F9(D-UmnS)","Off"
"F10(D-UmnT)","Off"
"F11(PhiU3-U2)","Off"
"F12(PhiI1-I2)","Off"
"F13(PhiI2-I3)","Off"
"F14(PhiI3-I1)","Off"
"F15(Pp-p)","Off"
"F16(F16)","Off"
"F17(F17)","Off"
"F18(F18)","Off"
"F19(F19)","Off"
"F20(F20)","Off"
"Evt1(Ev1)","Off"
"Evt2(Ev2)","Off"
"Evt3(Ev3)","Off"
"Evt4(Ev4)","Off"
"Evt5(Ev5)","Off"
"Evt6(Ev6)","Off"
"Evt7(Ev7)","Off"
"Evt8(Ev8)","Off"
"S Formula","Urms X Irms"
"S,Q Formula","Type 1"
"PC Formula","IEC76(1976)","0.5000","0.5000"
"Phase Angle","180 degree"
"Update Rate","100ms"
"Crest Factor","3"
"eta1 Formula","P3/P4*100"
"eta2 Formula","P4/P3*100"
"eta3 Formula","Off"
"eta4 Formula","Off"

"<Settings (Harmonics)>"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"PLL Source","U4","U4","U4","U4","U4","U4"
"Order","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40"
"THD Formula","Total","Total","Total","Total","Total","Total"

"Store No.","Date","Time","Urms-E2[V]","Irms-E2[A]","P-E2[W]","S-E2[VA]","Q-E2[var]","PF-E2","Urms-E3[V]","Irms-E3[A]","P-E3[W]","S-E3[VA]","Q-E3[var]","PF-E3","Urms-E4[V]","Irms-E4[A]","P-E4[W]","S-E4[VA]","Q-E4[var]","PF-E4","Urms-SigA[V]","Irms-SigA[A]","P-SigA[W]","S-SigA[VA]","Q-SigA[var]","PF-SigA"
    1,2024/12/05,14:31:20,206.87E+00,10.582E+00,2.0669E+03,2.1891E+03,721.41E+00,0.9441E+00,206.53E+00,9.4166E+00,1.8783E+03,1.9448E+03,504.14E+00,0.9658E+00,206.74E+00,10.184E+00,2.0196E+03,2.1055E+03,595.36E+00,0.9592E+00,206.71E+00,10.061E+00,5.9648E+03,6.2395E+03,1.8209E+03,0.9560E+00
    2,2024/12/05,14:31:20,206.81E+00,10.578E+00,2.0651E+03,2.1876E+03,721.73E+00,0.9440E+00,206.61E+00,9.4164E+00,1.8790E+03,1.9455E+03,504.50E+00,0.9658E+00,206.77E+00,10.183E+00,2.0196E+03,2.1055E+03,595.19E+00,0.9592E+00,206.73E+00,10.059E+00,5.9637E+03,6.2386E+03,1.8214E+03,0.9559E+00
    3,2024/12/05,14:31:20,206.90E+00,10.578E+00,2.0672E+03,2.1886E+03,718.67E+00,0.9445E+00,206.61E+00,9.4254E+00,1.8806E+03,1.9474E+03,505.83E+00,0.9657E+00,206.68E+00,10.174E+00,2.0167E+03,2.1027E+03,595.37E+00,0.9591E+00,206.73E+00,10.059E+00,5.9645E+03,6.2387E+03,1.8199E+03,0.9560E+00
    4,2024/12/05,14:31:20,206.90E+00,10.573E+00,2.0667E+03,2.1876E+03,717.29E+00,0.9447E+00,206.62E+00,9.4341E+00,1.8825E+03,1.9493E+03,505.78E+00,0.9658E+00,206.71E+00,10.181E+00,2.0188E+03,2.1044E+03,594.14E+00,0.9593E+00,206.74E+00,10.063E+00,5.9680E+03,6.2413E+03,1.8172E+03,0.9562E+00
    5,2024/12/05,14:31:20,206.95E+00,10.577E+00,2.0680E+03,2.1890E+03,717.55E+00,0.9447E+00,206.66E+00,9.4233E+00,1.8815E+03,1.9474E+03,502.30E+00,0.9662E+00,206.72E+00,10.182E+00,2.0190E+03,2.1047E+03,594.51E+00,0.9593E+00,206.78E+00,10.061E+00,5.9686E+03,6.2412E+03,1.8144E+03,0.9563E+00
    6,2024/12/05,14:31:20,206.95E+00,10.575E+00,2.0670E+03,2.1886E+03,719.19E+00,0.9445E+00,206.65E+00,9.4226E+00,1.8813E+03,1.9472E+03,502.27E+00,0.9662E+00,206.71E+00,10.184E+00,2.0194E+03,2.1050E+03,594.06E+00,0.9594E+00,206.77E+00,10.061E+00,5.9678E+03,6.2408E+03,1.8155E+03,0.9563E+00
    7,2024/12/05,14:31:20,206.94E+00,10.588E+00,2.0700E+03,2.1910E+03,718.13E+00,0.9448E+00,206.66E+00,9.4201E+00,1.8808E+03,1.9468E+03,502.72E+00,0.9661E+00,206.83E+00,10.185E+00,2.0211E+03,2.1065E+03,593.62E+00,0.9595E+00,206.81E+00,10.064E+00,5.9719E+03,6.2443E+03,1.8145E+03,0.9564E+00
    8,2024/12/05,14:31:20,206.96E+00,10.574E+00,2.0678E+03,2.1884E+03,716.30E+00,0.9449E+00,206.62E+00,9.4261E+00,1.8809E+03,1.9476E+03,505.31E+00,0.9658E+00,206.77E+00,10.180E+00,2.0195E+03,2.1050E+03,593.88E+00,0.9594E+00,206.78E+00,10.060E+00,5.9681E+03,6.2409E+03,1.8155E+03,0.9563E+00
    9,2024/12/05,14:31:20,206.94E+00,10.602E+00,2.0735E+03,2.1941E+03,717.31E+00,0.9450E+00,206.62E+00,9.4549E+00,1.8871E+03,1.9536E+03,505.34E+00,0.9660E+00,206.76E+00,10.212E+00,2.0256E+03,2.1114E+03,595.64E+00,0.9594E+00,206.77E+00,10.090E+00,5.9862E+03,6.2590E+03,1.8183E+03,0.9564E+00
   10,2024/12/05,14:31:21,206.95E+00,10.605E+00,2.0737E+03,2.1947E+03,718.59E+00,0.9449E+00,206.62E+00,9.4675E+00,1.8897E+03,1.9562E+03,505.70E+00,0.9660E+00,206.81E+00,10.228E+00,2.0295E+03,2.1153E+03,596.18E+00,0.9595E+00,206.79E+00,10.100E+00,5.9930E+03,6.2662E+03,1.8205E+03,0.9564E+00
