"Model","WT1800"
"Comment",""
"Version","1.01"
"Date","2024/12/05"
"Time","11:03:29"

"<Settings>"
"Measurement Mode","Normal Mode"
"Sigma","SigmaA"
"Sigma Wiring","3P4W"
"Delta Measure Type","Star->Delta"
"Delta Measure Mode","RMS"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"Module","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A"
"Wiring","1P2W","SigmaA(3P4W)","SigmaA(3P4W)","SigmaA(3P4W)","1P2W","1P2W"
"Voltage Range","1.5V","600V","600V","600V","1.5V","1.5V"
"Terminal","Direct","Direct","Direct","Direct","Sensor","Direct"
"Current Range","    10mA","Auto","Auto","Auto","100mV","    10mA"
"Sensor Ratio","100.0000","10.0000","100.0000","10.0000","100.0000","10.0000"
"Line Filter","Off","Off","Off","Off","Off","Off"
"Frequency Filter","Off","Off","Off","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","2000.0001","1000.0000","1000.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Sync Source","I1","I2","I3","I4","I5","I6"
"WP Type","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge"
"q Mode","dc","dc","dc","dc","dc","dc"
"Null U","Off","Off","Off","Off","Off","Off"
"Null I","Off","Off","Off","Off","Off","Off"
"Element Independent","On"
"Average","Off"
"F1(EFF)","P(E3)/P(E4)*100","Unit","%"
"F2(P-loss)","Off"
"F3(U-ripple)","Off"
"F4(I-ripple)","Off"
"F5(D-UrmsR)","Off"
"F6(D-UrmsS)","Off"
"F7(D-UrmsT)","Off"
"F8(D-UmnR)","Off"
"F9(D-UmnS)","Off"
"F10(D-UmnT)","Off"
"F11(PhiU3-U2)","Off"
"F12(PhiI1-I2)","Off"
"F13(PhiI2-I3)","Off"
"F14(PhiI3-I1)","Off"
"F15(Pp-p)","Off"
"F16(F16)","Off"
"F17(F17)","Off"
"F18(F18)","Off"
"F19(F19)","Off"
"F20(F20)","Off"
"Evt1(Ev1)","Off"
"Evt2(Ev2)","Off"
"Evt3(Ev3)","Off"
"Evt4(Ev4)","Off"
"Evt5(Ev5)","Off"
"Evt6(Ev6)","Off"
"Evt7(Ev7)","Off"
"Evt8(Ev8)","Off"
"S Formula","Urms X Irms"
"S,Q Formula","Type 1"
"PC Formula","IEC76(1976)","0.5000","0.5000"
"Phase Angle","180 degree"
"Update Rate","100ms"
"Crest Factor","3"
"eta1 Formula","P3/P4*100"
"eta2 Formula","P4/P3*100"
"eta3 Formula","Off"
"eta4 Formula","Off"

"<Settings (Harmonics)>"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"PLL Source","U4","U4","U4","U4","U4","U4"
"Order","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40"
"THD Formula","Total","Total","Total","Total","Total","Total"

"Store No.","Date","Time","Urms-E2[V]","Irms-E2[A]","P-E2[W]","S-E2[VA]","Q-E2[var]","PF-E2","Urms-E3[V]","Irms-E3[A]","P-E3[W]","S-E3[VA]","Q-E3[var]","PF-E3","Urms-E4[V]","Irms-E4[A]","P-E4[W]","S-E4[VA]","Q-E4[var]","PF-E4","Urms-SigA[V]","Irms-SigA[A]","P-SigA[W]","S-SigA[VA]","Q-SigA[var]","PF-SigA"
    1,2024/12/05,11:01:27,229.86E+00,9.9203E+00,2.0340E+03,2.2803E+03,1.0307E+03,0.8920E+00,229.94E+00,9.5834E+00,2.0022E+03,2.2036E+03,920.31E+00,0.9086E+00,229.80E+00,9.4580E+00,1.9810E+03,2.1734E+03,894.11E+00,0.9115E+00,229.87E+00,9.6539E+00,6.0172E+03,6.6573E+03,2.8451E+03,0.9039E+00
    2,2024/12/05,11:01:27,229.69E+00,9.9229E+00,2.0321E+03,2.2792E+03,1.0323E+03,0.8916E+00,229.82E+00,9.5846E+00,1.9999E+03,2.2027E+03,923.28E+00,0.9079E+00,229.88E+00,9.4668E+00,1.9848E+03,2.1762E+03,892.56E+00,0.9120E+00,229.80E+00,9.6581E+00,6.0167E+03,6.6582E+03,2.8481E+03,0.9037E+00
    3,2024/12/05,11:01:27,229.74E+00,9.9237E+00,2.0329E+03,2.2799E+03,1.0320E+03,0.8917E+00,229.88E+00,9.5867E+00,2.0020E+03,2.2038E+03,921.30E+00,0.9084E+00,229.89E+00,9.4664E+00,1.9843E+03,2.1762E+03,893.42E+00,0.9118E+00,229.83E+00,9.6590E+00,6.0192E+03,6.6598E+03,2.8468E+03,0.9038E+00
    4,2024/12/05,11:01:27,229.59E+00,9.9199E+00,2.0304E+03,2.2776E+03,1.0318E+03,0.8915E+00,229.83E+00,9.5791E+00,1.9998E+03,2.2016E+03,920.67E+00,0.9084E+00,229.75E+00,9.4682E+00,1.9815E+03,2.1753E+03,897.49E+00,0.9109E+00,229.72E+00,9.6557E+00,6.0118E+03,6.6544E+03,2.8499E+03,0.9034E+00
    5,2024/12/05,11:01:27,229.81E+00,9.9292E+00,2.0342E+03,2.2819E+03,1.0339E+03,0.8915E+00,229.84E+00,9.5783E+00,1.9993E+03,2.2015E+03,921.71E+00,0.9081E+00,229.74E+00,9.4708E+00,1.9825E+03,2.1758E+03,896.66E+00,0.9111E+00,229.80E+00,9.6594E+00,6.0160E+03,6.6592E+03,2.8523E+03,0.9034E+00
    6,2024/12/05,11:01:27,229.74E+00,9.9295E+00,2.0326E+03,2.2812E+03,1.0356E+03,0.8910E+00,229.88E+00,9.5889E+00,2.0024E+03,2.2043E+03,921.59E+00,0.9084E+00,229.83E+00,9.4699E+00,1.9837E+03,2.1765E+03,895.60E+00,0.9114E+00,229.82E+00,9.6628E+00,6.0187E+03,6.6620E+03,2.8528E+03,0.9034E+00
    7,2024/12/05,11:01:27,229.70E+00,9.9257E+00,2.0317E+03,2.2799E+03,1.0345E+03,0.8911E+00,229.88E+00,9.5887E+00,2.0020E+03,2.2042E+03,922.40E+00,0.9082E+00,229.70E+00,9.4579E+00,1.9797E+03,2.1725E+03,894.68E+00,0.9113E+00,229.76E+00,9.6574E+00,6.0133E+03,6.6566E+03,2.8516E+03,0.9034E+00
    8,2024/12/05,11:01:27,229.78E+00,9.9381E+00,2.0348E+03,2.2836E+03,1.0365E+03,0.8911E+00,229.71E+00,9.5756E+00,1.9969E+03,2.1996E+03,922.42E+00,0.9078E+00,229.77E+00,9.4639E+00,1.9819E+03,2.1746E+03,894.90E+00,0.9114E+00,229.76E+00,9.6592E+00,6.0136E+03,6.6578E+03,2.8538E+03,0.9032E+00
    9,2024/12/05,11:01:27,229.74E+00,9.9327E+00,2.0331E+03,2.2819E+03,1.0361E+03,0.8910E+00,229.94E+00,9.5877E+00,2.0021E+03,2.2046E+03,922.90E+00,0.9082E+00,229.73E+00,9.4738E+00,1.9828E+03,2.1764E+03,897.37E+00,0.9110E+00,229.80E+00,9.6647E+00,6.0180E+03,6.6629E+03,2.8564E+03,0.9032E+00
   10,2024/12/05,11:01:27,229.80E+00,9.9263E+00,2.0316E+03,2.2811E+03,1.0371E+03,0.8907E+00,229.87E+00,9.5770E+00,1.9991E+03,2.2014E+03,921.97E+00,0.9081E+00,229.78E+00,9.4711E+00,1.9828E+03,2.1763E+03,897.02E+00,0.9111E+00,229.82E+00,9.6581E+00,6.0136E+03,6.6588E+03,2.8561E+03,0.9031E+00
