"Model","WT1800"
"Comment",""
"Version","1.01"
"Date","2024/12/05"
"Time","16:11:07"

"<Settings>"
"Measurement Mode","Normal Mode"
"Sigma","SigmaA"
"Sigma Wiring","3P4W"
"Delta Measure Type","Star->Delta"
"Delta Measure Mode","RMS"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"Module","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A"
"Wiring","1P2W","SigmaA(3P4W)","SigmaA(3P4W)","SigmaA(3P4W)","1P2W","1P2W"
"Voltage Range","1.5V","600V","600V","600V","1.5V","1.5V"
"Terminal","Direct","Direct","Direct","Direct","Sensor","Direct"
"Current Range","    10mA","Auto","Auto","Auto","100mV","    10mA"
"Sensor Ratio","100.0000","10.0000","100.0000","10.0000","100.0000","10.0000"
"Line Filter","Off","Off","Off","Off","Off","Off"
"Frequency Filter","Off","Off","Off","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","2000.0001","1000.0000","1000.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Sync Source","I1","I2","I3","I4","I5","I6"
"WP Type","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge"
"q Mode","dc","dc","dc","dc","dc","dc"
"Null U","Off","Off","Off","Off","Off","Off"
"Null I","Off","Off","Off","Off","Off","Off"
"Element Independent","On"
"Average","Off"
"F1(EFF)","P(E3)/P(E4)*100","Unit","%"
"F2(P-loss)","Off"
"F3(U-ripple)","Off"
"F4(I-ripple)","Off"
"F5(D-UrmsR)","Off"
"F6(D-UrmsS)","Off"
"F7(D-UrmsT)","Off"
"F8(D-UmnR)","Off"
"F9(D-UmnS)","Off"
"F10(D-UmnT)","Off"
"F11(PhiU3-U2)","Off"
"F12(PhiI1-I2)","Off"
"F13(PhiI2-I3)","Off"
"F14(PhiI3-I1)","Off"
"F15(Pp-p)","Off"
"F16(F16)","Off"
"F17(F17)","Off"
"F18(F18)","Off"
"F19(F19)","Off"
"F20(F20)","Off"
"Evt1(Ev1)","Off"
"Evt2(Ev2)","Off"
"Evt3(Ev3)","Off"
"Evt4(Ev4)","Off"
"Evt5(Ev5)","Off"
"Evt6(Ev6)","Off"
"Evt7(Ev7)","Off"
"Evt8(Ev8)","Off"
"S Formula","Urms X Irms"
"S,Q Formula","Type 1"
"PC Formula","IEC76(1976)","0.5000","0.5000"
"Phase Angle","180 degree"
"Update Rate","100ms"
"Crest Factor","3"
"eta1 Formula","P3/P4*100"
"eta2 Formula","P4/P3*100"
"eta3 Formula","Off"
"eta4 Formula","Off"

"<Settings (Harmonics)>"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"PLL Source","U4","U4","U4","U4","U4","U4"
"Order","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40"
"THD Formula","Total","Total","Total","Total","Total","Total"

"Store No.","Date","Time","Urms-E2[V]","Irms-E2[A]","P-E2[W]","S-E2[VA]","Q-E2[var]","PF-E2","Urms-E3[V]","Irms-E3[A]","P-E3[W]","S-E3[VA]","Q-E3[var]","PF-E3","Urms-E4[V]","Irms-E4[A]","P-E4[W]","S-E4[VA]","Q-E4[var]","PF-E4","Urms-SigA[V]","Irms-SigA[A]","P-SigA[W]","S-SigA[VA]","Q-SigA[var]","PF-SigA"
    1,2024/12/05,16:09:04,229.67E+00,9.9345E+00,2.0761E+03,2.2817E+03,-946.54E+00,0.9099E+00,229.78E+00,9.4105E+00,1.9298E+03,2.1623E+03,-975.44E+00,0.8925E+00,229.75E+00,9.7040E+00,2.0044E+03,2.2295E+03,-976.12E+00,0.8991E+00,229.73E+00,9.6830E+00,6.0103E+03,6.6735E+03,-2.8981E+03,0.9006E+00
    2,2024/12/05,16:09:04,229.41E+00,9.9194E+00,2.0702E+03,2.2756E+03,-944.83E+00,0.9097E+00,229.59E+00,9.3952E+00,1.9230E+03,2.1571E+03,-977.30E+00,0.8915E+00,229.74E+00,9.7068E+00,2.0038E+03,2.2301E+03,-978.81E+00,0.8985E+00,229.58E+00,9.6738E+00,5.9970E+03,6.6628E+03,-2.9009E+03,0.9001E+00
    3,2024/12/05,16:09:04,229.47E+00,9.9240E+00,2.0721E+03,2.2773E+03,-944.60E+00,0.9099E+00,229.60E+00,9.4002E+00,1.9240E+03,2.1583E+03,-977.98E+00,0.8914E+00,229.80E+00,9.7133E+00,2.0055E+03,2.2322E+03,-980.00E+00,0.8985E+00,229.62E+00,9.6792E+00,6.0016E+03,6.6677E+03,-2.9026E+03,0.9001E+00
    4,2024/12/05,16:09:04,229.71E+00,9.9302E+00,2.0756E+03,2.2810E+03,-946.00E+00,0.9099E+00,229.73E+00,9.4094E+00,1.9296E+03,2.1617E+03,-974.38E+00,0.8926E+00,229.80E+00,9.7041E+00,2.0038E+03,2.2300E+03,-978.72E+00,0.8985E+00,229.75E+00,9.6812E+00,6.0090E+03,6.6727E+03,-2.8991E+03,0.9005E+00
    5,2024/12/05,16:09:04,229.40E+00,9.9149E+00,2.0685E+03,2.2745E+03,-945.84E+00,0.9094E+00,229.73E+00,9.4118E+00,1.9308E+03,2.1622E+03,-973.17E+00,0.8930E+00,229.83E+00,9.7109E+00,2.0058E+03,2.2318E+03,-978.65E+00,0.8987E+00,229.65E+00,9.6792E+00,6.0051E+03,6.6685E+03,-2.8977E+03,0.9005E+00
    6,2024/12/05,16:09:04,229.66E+00,9.9355E+00,2.0754E+03,2.2818E+03,-948.35E+00,0.9095E+00,229.59E+00,9.3934E+00,1.9238E+03,2.1566E+03,-974.60E+00,0.8921E+00,229.79E+00,9.7111E+00,2.0063E+03,2.2315E+03,-976.89E+00,0.8991E+00,229.68E+00,9.6800E+00,6.0055E+03,6.6699E+03,-2.8998E+03,0.9004E+00
    7,2024/12/05,16:09:04,229.56E+00,9.9341E+00,2.0750E+03,2.2804E+03,-945.86E+00,0.9099E+00,229.54E+00,9.3872E+00,1.9218E+03,2.1547E+03,-974.50E+00,0.8919E+00,229.76E+00,9.7116E+00,2.0055E+03,2.2313E+03,-978.13E+00,0.8988E+00,229.62E+00,9.6776E+00,6.0022E+03,6.6664E+03,-2.8985E+03,0.9004E+00
    8,2024/12/05,16:09:04,229.47E+00,9.9180E+00,2.0706E+03,2.2759E+03,-944.44E+00,0.9098E+00,229.73E+00,9.3976E+00,1.9262E+03,2.1589E+03,-975.00E+00,0.8922E+00,229.80E+00,9.7083E+00,2.0043E+03,2.2309E+03,-979.68E+00,0.8984E+00,229.66E+00,9.6746E+00,6.0011E+03,6.6656E+03,-2.8991E+03,0.9003E+00
    9,2024/12/05,16:09:04,229.68E+00,9.9249E+00,2.0739E+03,2.2796E+03,-946.20E+00,0.9098E+00,229.72E+00,9.4114E+00,1.9291E+03,2.1620E+03,-976.05E+00,0.8923E+00,229.74E+00,9.7036E+00,2.0036E+03,2.2293E+03,-977.51E+00,0.8987E+00,229.72E+00,9.6800E+00,6.0067E+03,6.6709E+03,-2.8998E+03,0.9004E+00
   10,2024/12/05,16:09:05,229.56E+00,9.9143E+00,2.0713E+03,2.2759E+03,-943.02E+00,0.9101E+00,229.54E+00,9.4034E+00,1.9258E+03,2.1585E+03,-974.82E+00,0.8922E+00,229.70E+00,9.7018E+00,2.0022E+03,2.2285E+03,-978.44E+00,0.8985E+00,229.60E+00,9.6732E+00,5.9993E+03,6.6628E+03,-2.8963E+03,0.9004E+00
   11,2024/12/05,16:09:05,229.72E+00,9.9366E+00,2.0768E+03,2.2827E+03,-947.26E+00,0.9098E+00,229.78E+00,9.4075E+00,1.9297E+03,2.1616E+03,-974.21E+00,0.8927E+00,229.83E+00,9.7075E+00,2.0064E+03,2.2311E+03,-975.76E+00,0.8993E+00,229.78E+00,9.6838E+00,6.0129E+03,6.6754E+03,-2.8972E+03,0.9008E+00
   12,2024/12/05,16:09:05,229.39E+00,9.9179E+00,2.0703E+03,2.2751E+03,-943.39E+00,0.9100E+00,229.73E+00,9.4006E+00,1.9265E+03,2.1596E+03,-976.02E+00,0.8921E+00,229.70E+00,9.7024E+00,2.0029E+03,2.2286E+03,-977.18E+00,0.8987E+00,229.61E+00,9.6736E+00,5.9997E+03,6.6633E+03,-2.8966E+03,0.9004E+00
   13,2024/12/05,16:09:05,229.47E+00,9.9188E+00,2.0726E+03,2.2761E+03,-940.62E+00,0.9106E+00,229.77E+00,9.4010E+00,1.9278E+03,2.1601E+03,-974.41E+00,0.8925E+00,229.74E+00,9.7100E+00,2.0048E+03,2.2308E+03,-978.34E+00,0.8987E+00,229.66E+00,9.6766E+00,6.0052E+03,6.6669E+03,-2.8934E+03,0.9007E+00
   14,2024/12/05,16:09:05,229.56E+00,9.9173E+00,2.0734E+03,2.2767E+03,-940.26E+00,0.9107E+00,229.74E+00,9.4076E+00,1.9288E+03,2.1613E+03,-975.08E+00,0.8924E+00,229.70E+00,9.6996E+00,2.0027E+03,2.2280E+03,-976.37E+00,0.8989E+00,229.67E+00,9.6749E+00,6.0049E+03,6.6659E+03,-2.8917E+03,0.9008E+00
