"Model","WT1800"
"Comment",""
"Version","1.01"
"Date","2024/12/05"
"Time","15:19:25"

"<Settings>"
"Measurement Mode","Normal Mode"
"Sigma","SigmaA"
"Sigma Wiring","3P4W"
"Delta Measure Type","Star->Delta"
"Delta Measure Mode","RMS"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"Module","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A"
"Wiring","1P2W","SigmaA(3P4W)","SigmaA(3P4W)","SigmaA(3P4W)","1P2W","1P2W"
"Voltage Range","1.5V","600V","600V","600V","1.5V","1.5V"
"Terminal","Direct","Direct","Direct","Direct","Sensor","Direct"
"Current Range","    10mA","Auto","Auto","Auto","100mV","    10mA"
"Sensor Ratio","100.0000","10.0000","100.0000","10.0000","100.0000","10.0000"
"Line Filter","Off","Off","Off","Off","Off","Off"
"Frequency Filter","Off","Off","Off","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","2000.0001","1000.0000","1000.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Sync Source","I1","I2","I3","I4","I5","I6"
"WP Type","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge"
"q Mode","dc","dc","dc","dc","dc","dc"
"Null U","Off","Off","Off","Off","Off","Off"
"Null I","Off","Off","Off","Off","Off","Off"
"Element Independent","On"
"Average","Off"
"F1(EFF)","P(E3)/P(E4)*100","Unit","%"
"F2(P-loss)","Off"
"F3(U-ripple)","Off"
"F4(I-ripple)","Off"
"F5(D-UrmsR)","Off"
"F6(D-UrmsS)","Off"
"F7(D-UrmsT)","Off"
"F8(D-UmnR)","Off"
"F9(D-UmnS)","Off"
"F10(D-UmnT)","Off"
"F11(PhiU3-U2)","Off"
"F12(PhiI1-I2)","Off"
"F13(PhiI2-I3)","Off"
"F14(PhiI3-I1)","Off"
"F15(Pp-p)","Off"
"F16(F16)","Off"
"F17(F17)","Off"
"F18(F18)","Off"
"F19(F19)","Off"
"F20(F20)","Off"
"Evt1(Ev1)","Off"
"Evt2(Ev2)","Off"
"Evt3(Ev3)","Off"
"Evt4(Ev4)","Off"
"Evt5(Ev5)","Off"
"Evt6(Ev6)","Off"
"Evt7(Ev7)","Off"
"Evt8(Ev8)","Off"
"S Formula","Urms X Irms"
"S,Q Formula","Type 1"
"PC Formula","IEC76(1976)","0.5000","0.5000"
"Phase Angle","180 degree"
"Update Rate","100ms"
"Crest Factor","3"
"eta1 Formula","P3/P4*100"
"eta2 Formula","P4/P3*100"
"eta3 Formula","Off"
"eta4 Formula","Off"

"<Settings (Harmonics)>"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"PLL Source","U4","U4","U4","U4","U4","U4"
"Order","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40"
"THD Formula","Total","Total","Total","Total","Total","Total"

"Store No.","Date","Time","Urms-E2[V]","Irms-E2[A]","P-E2[W]","S-E2[VA]","Q-E2[var]","PF-E2","Urms-E3[V]","Irms-E3[A]","P-E3[W]","S-E3[VA]","Q-E3[var]","PF-E3","Urms-E4[V]","Irms-E4[A]","P-E4[W]","S-E4[VA]","Q-E4[var]","PF-E4","Urms-SigA[V]","Irms-SigA[A]","P-SigA[W]","S-SigA[VA]","Q-SigA[var]","PF-SigA"
    1,2024/12/05,15:17:22,229.49E+00,9.4152E+00,2.0830E+03,2.1607E+03,-574.14E+00,0.9641E+00,229.61E+00,8.7906E+00,1.9175E+03,2.0184E+03,-630.14E+00,0.9500E+00,229.54E+00,9.1590E+00,2.0104E+03,2.1023E+03,-614.65E+00,0.9563E+00,229.55E+00,9.1216E+00,6.0110E+03,6.2814E+03,-1.8189E+03,0.9569E+00
    2,2024/12/05,15:17:22,229.51E+00,9.4102E+00,2.0820E+03,2.1598E+03,-574.45E+00,0.9640E+00,229.66E+00,8.7976E+00,1.9196E+03,2.0205E+03,-630.61E+00,0.9500E+00,229.57E+00,9.1669E+00,2.0129E+03,2.1045E+03,-614.03E+00,0.9565E+00,229.58E+00,9.1249E+00,6.0144E+03,6.2847E+03,-1.8191E+03,0.9570E+00
    3,2024/12/05,15:17:22,229.49E+00,9.4019E+00,2.0807E+03,2.1577E+03,-571.05E+00,0.9643E+00,229.53E+00,8.8005E+00,1.9203E+03,2.0200E+03,-626.63E+00,0.9507E+00,229.50E+00,9.1549E+00,2.0091E+03,2.1011E+03,-614.72E+00,0.9562E+00,229.51E+00,9.1191E+00,6.0102E+03,6.2787E+03,-1.8124E+03,0.9572E+00
    4,2024/12/05,15:17:23,229.45E+00,9.4010E+00,2.0795E+03,2.1570E+03,-573.22E+00,0.9640E+00,229.52E+00,8.7938E+00,1.9196E+03,2.0183E+03,-623.56E+00,0.9511E+00,229.72E+00,9.1664E+00,2.0142E+03,2.1057E+03,-613.99E+00,0.9565E+00,229.56E+00,9.1204E+00,6.0132E+03,6.2810E+03,-1.8108E+03,0.9574E+00
    5,2024/12/05,15:17:23,229.59E+00,9.4117E+00,2.0830E+03,2.1608E+03,-574.60E+00,0.9640E+00,229.51E+00,8.7917E+00,1.9183E+03,2.0178E+03,-625.91E+00,0.9507E+00,229.76E+00,9.1657E+00,2.0151E+03,2.1059E+03,-612.01E+00,0.9568E+00,229.62E+00,9.1231E+00,6.0164E+03,6.2846E+03,-1.8125E+03,0.9573E+00
    6,2024/12/05,15:17:23,229.56E+00,9.4176E+00,2.0848E+03,2.1619E+03,-572.10E+00,0.9643E+00,229.51E+00,8.7910E+00,1.9174E+03,2.0177E+03,-628.14E+00,0.9503E+00,229.91E+00,9.1894E+00,2.0215E+03,2.1127E+03,-614.23E+00,0.9568E+00,229.66E+00,9.1327E+00,6.0237E+03,6.2923E+03,-1.8145E+03,0.9573E+00
    7,2024/12/05,15:17:23,229.56E+00,9.4188E+00,2.0861E+03,2.1622E+03,-568.68E+00,0.9648E+00,229.58E+00,8.7947E+00,1.9189E+03,2.0190E+03,-627.99E+00,0.9504E+00,229.54E+00,9.1544E+00,2.0098E+03,2.1013E+03,-613.13E+00,0.9565E+00,229.56E+00,9.1226E+00,6.0148E+03,6.2825E+03,-1.8098E+03,0.9574E+00
    8,2024/12/05,15:17:23,229.49E+00,9.3981E+00,2.0811E+03,2.1568E+03,-566.29E+00,0.9649E+00,229.59E+00,8.8040E+00,1.9216E+03,2.0213E+03,-626.94E+00,0.9507E+00,229.62E+00,9.1614E+00,2.0122E+03,2.1037E+03,-613.42E+00,0.9565E+00,229.57E+00,9.1212E+00,6.0150E+03,6.2818E+03,-1.8066E+03,0.9575E+00
    9,2024/12/05,15:17:23,229.43E+00,9.4085E+00,2.0824E+03,2.1586E+03,-568.60E+00,0.9647E+00,229.74E+00,8.8075E+00,1.9254E+03,2.0234E+03,-621.97E+00,0.9516E+00,229.64E+00,9.1600E+00,2.0125E+03,2.1035E+03,-611.94E+00,0.9567E+00,229.60E+00,9.1254E+00,6.0204E+03,6.2855E+03,-1.8025E+03,0.9578E+00
   10,2024/12/05,15:17:23,229.44E+00,9.3794E+00,2.0752E+03,2.1520E+03,-569.88E+00,0.9643E+00,229.73E+00,8.8041E+00,1.9237E+03,2.0226E+03,-624.58E+00,0.9511E+00,229.82E+00,9.1703E+00,2.0167E+03,2.1076E+03,-612.12E+00,0.9569E+00,229.67E+00,9.1179E+00,6.0156E+03,6.2822E+03,-1.8066E+03,0.9576E+00
   11,2024/12/05,15:17:23,229.50E+00,9.3998E+00,2.0815E+03,2.1573E+03,-566.57E+00,0.9649E+00,229.57E+00,8.7846E+00,1.9172E+03,2.0166E+03,-625.38E+00,0.9507E+00,229.77E+00,9.1658E+00,2.0153E+03,2.1060E+03,-611.48E+00,0.9569E+00,229.61E+00,9.1167E+00,6.0140E+03,6.2799E+03,-1.8034E+03,0.9577E+00
   12,2024/12/05,15:17:23,229.51E+00,9.3873E+00,2.0790E+03,2.1544E+03,-565.19E+00,0.9650E+00,229.95E+00,8.8045E+00,1.9245E+03,2.0246E+03,-628.86E+00,0.9505E+00,229.82E+00,9.1729E+00,2.0173E+03,2.1082E+03,-612.23E+00,0.9569E+00,229.76E+00,9.1216E+00,6.0207E+03,6.2872E+03,-1.8063E+03,0.9576E+00
   13,2024/12/05,15:17:23,229.49E+00,9.3927E+00,2.0813E+03,2.1556E+03,-561.08E+00,0.9655E+00,230.01E+00,8.8176E+00,1.9290E+03,2.0281E+03,-626.23E+00,0.9511E+00,229.76E+00,9.1601E+00,2.0139E+03,2.1046E+03,-611.28E+00,0.9569E+00,229.75E+00,9.1234E+00,6.0241E+03,6.2883E+03,-1.7986E+03,0.9580E+00
   14,2024/12/05,15:17:24,229.49E+00,9.3859E+00,2.0797E+03,2.1540E+03,-560.88E+00,0.9655E+00,229.98E+00,8.8227E+00,1.9315E+03,2.0290E+03,-621.44E+00,0.9519E+00,229.79E+00,9.1633E+00,2.0148E+03,2.1057E+03,-612.05E+00,0.9568E+00,229.75E+00,9.1240E+00,6.0260E+03,6.2887E+03,-1.7944E+03,0.9582E+00
   15,2024/12/05,15:17:24,229.50E+00,9.3953E+00,2.0816E+03,2.1562E+03,-562.18E+00,0.9654E+00,230.01E+00,8.8115E+00,1.9289E+03,2.0267E+03,-622.08E+00,0.9517E+00,229.83E+00,9.1682E+00,2.0169E+03,2.1071E+03,-609.87E+00,0.9572E+00,229.78E+00,9.1250E+00,6.0274E+03,6.2900E+03,-1.7941E+03,0.9583E+00
   16,2024/12/05,15:17:24,229.60E+00,9.4050E+00,2.0849E+03,2.1594E+03,-562.42E+00,0.9655E+00,230.02E+00,8.8091E+00,1.9276E+03,2.0262E+03,-624.38E+00,0.9513E+00,229.90E+00,9.1713E+00,2.0185E+03,2.1085E+03,-609.25E+00,0.9573E+00,229.84E+00,9.1285E+00,6.0310E+03,6.2941E+03,-1.7961E+03,0.9582E+00
   17,2024/12/05,15:17:24,229.50E+00,9.3816E+00,2.0788E+03,2.1531E+03,-560.54E+00,0.9655E+00,229.85E+00,8.7870E+00,1.9201E+03,2.0197E+03,-626.55E+00,0.9507E+00,229.76E+00,9.1478E+00,2.0111E+03,2.1018E+03,-610.50E+00,0.9569E+00,229.70E+00,9.1054E+00,6.0100E+03,6.2745E+03,-1.7976E+03,0.9578E+00
   18,2024/12/05,15:17:24,229.38E+00,9.3761E+00,2.0773E+03,2.1506E+03,-556.88E+00,0.9659E+00,229.98E+00,8.8093E+00,1.9269E+03,2.0259E+03,-625.61E+00,0.9511E+00,229.71E+00,9.1465E+00,2.0111E+03,2.1011E+03,-608.29E+00,0.9572E+00,229.69E+00,9.1106E+00,6.0153E+03,6.2777E+03,-1.7908E+03,0.9582E+00
   19,2024/12/05,15:17:24,229.56E+00,9.3724E+00,2.0780E+03,2.1516E+03,-557.90E+00,0.9658E+00,229.98E+00,8.8113E+00,1.9285E+03,2.0264E+03,-622.21E+00,0.9517E+00,229.89E+00,9.1513E+00,2.0136E+03,2.1038E+03,-609.34E+00,0.9571E+00,229.81E+00,9.1117E+00,6.0202E+03,6.2818E+03,-1.7895E+03,0.9583E+00
   20,2024/12/05,15:17:24,229.57E+00,9.3850E+00,2.0808E+03,2.1545E+03,-558.44E+00,0.9658E+00,229.98E+00,8.7993E+00,1.9263E+03,2.0236E+03,-619.97E+00,0.9519E+00,229.87E+00,9.1549E+00,2.0149E+03,2.1044E+03,-607.51E+00,0.9574E+00,229.80E+00,9.1131E+00,6.0220E+03,6.2826E+03,-1.7859E+03,0.9585E+00
   21,2024/12/05,15:17:24,229.56E+00,9.3911E+00,2.0812E+03,2.1558E+03,-562.46E+00,0.9654E+00,229.91E+00,8.8012E+00,1.9251E+03,2.0235E+03,-623.12E+00,0.9514E+00,229.84E+00,9.1550E+00,2.0146E+03,2.1042E+03,-607.42E+00,0.9574E+00,229.77E+00,9.1158E+00,6.0209E+03,6.2835E+03,-1.7930E+03,0.9582E+00
